entity_id,metric_id,year,value
120512,total_appearances,,35
68214,total_appearances,,35
12412,total_appearances,,34
26905,total_appearances,,34
2092,total_appearances,,34
44825,total_appearances,,34
1259,total_appearances,,34
5649,total_appearances,,34
11832,total_appearances,,34
130082,total_appearances,,34
2122,total_appearances,,33
1590,total_appearances,,33
2694,total_appearances,,33
2651,total_appearances,,33
8854,total_appearances,,33
1839,total_appearances,,33
1436,total_appearances,,33
1447,total_appearances,,33
5376,total_appearances,,33
2191,total_appearances,,33
57193,total_appearances,,33
46824,total_appearances,,33
241865,total_appearances,,33
1771,total_appearances,,33
1414,total_appearances,,32
7427,total_appearances,,32
1927,total_appearances,,32
1553,total_appearances,,32
11961,total_appearances,,32
1034,total_appearances,,32
1303,total_appearances,,32
1224,total_appearances,,32
129901,total_appearances,,32
16516,total_appearances,,32
8857,total_appearances,,32
177572,total_appearances,,32
332730,total_appearances,,32
432264,total_appearances,,32
8799,total_appearances,,31
1698,total_appearances,,31
9644,total_appearances,,31
3842,total_appearances,,31
14616,total_appearances,,31
2549,total_appearances,,31
15578,total_appearances,,31
4673,total_appearances,,31
1648,total_appearances,,31
7316,total_appearances,,31
1712,total_appearances,,31
1620,total_appearances,,31
1512,total_appearances,,31
2619,total_appearances,,31
1420,total_appearances,,31
107339,total_appearances,,31
1800,total_appearances,,30
12413,total_appearances,,30
1559,total_appearances,,30
1332,total_appearances,,30
2016,total_appearances,,30
20248,total_appearances,,30
15510,total_appearances,,30
2357,total_appearances,,30
4608,total_appearances,,30
1996,total_appearances,,30
2536,total_appearances,,30
129906,total_appearances,,30
177570,total_appearances,,30
177568,total_appearances,,30
603449,total_appearances,,30
2161,total_appearances,,29
10125,total_appearances,,29
5537,total_appearances,,29
2127,total_appearances,,29
7703,total_appearances,,29
1178,total_appearances,,29
1412,total_appearances,,29
2299,total_appearances,,29
15950,total_appearances,,29
1638,total_appearances,,29
15092,total_appearances,,29
78164,total_appearances,,29
15647,total_appearances,,29
9838,total_appearances,,29
5683,total_appearances,,29
25595,total_appearances,,29
351516,total_appearances,,29
2126,total_appearances,,29
1330,total_appearances,,28
10100,total_appearances,,28
2695,total_appearances,,28
4015,total_appearances,,28
7089,total_appearances,,28
1202,total_appearances,,28
2073,total_appearances,,28
16890,total_appearances,,28
5439,total_appearances,,28
72602,total_appearances,,28
129966,total_appearances,,28
177566,total_appearances,,28
126258,total_appearances,,28
432991,total_appearances,,28
1302,total_appearances,,27
1692,total_appearances,,27
316114,total_appearances,,27
2425,total_appearances,,27
1457,total_appearances,,27
2302,total_appearances,,27
2282,total_appearances,,27
16919,total_appearances,,27
95123,total_appearances,,27
31357,total_appearances,,27
44006,total_appearances,,27
177564,total_appearances,,27
177574,total_appearances,,27
11837,total_appearances,,26
1174,total_appearances,,26
1629,total_appearances,,26
2429,total_appearances,,26
5685,total_appearances,,26
15059,total_appearances,,26
1446,total_appearances,,26
1722,total_appearances,,26
28969,total_appearances,,26
15860,total_appearances,,26
2068,total_appearances,,26
99059,total_appearances,,26
128671,total_appearances,,26
22800,total_appearances,,26
89270,total_appearances,,25
241281,total_appearances,,25
2547,total_appearances,,25
21719,total_appearances,,25
1906,total_appearances,,25
2605,total_appearances,,25
4379,total_appearances,,25
1203,total_appearances,,25
15218,total_appearances,,25
2633,total_appearances,,25
2251,total_appearances,,25
494902,total_appearances,,25
1342,total_appearances,,25
1182,total_appearances,,25
36717,total_appearances,,25
2448,total_appearances,,25
2627,total_appearances,,25
1219,total_appearances,,25
15383,total_appearances,,25
1682,total_appearances,,25
16306,total_appearances,,25
2522,total_appearances,,25
22156,total_appearances,,25
454029,total_appearances,,25
12889,total_appearances,,24
2154,total_appearances,,24
11793,total_appearances,,24
26873,total_appearances,,24
2431,total_appearances,,24
2548,total_appearances,,24
14441,total_appearances,,24
391047,total_appearances,,24
7425,total_appearances,,24
1417,total_appearances,,24
5587,total_appearances,,24
13241,total_appearances,,24
15083,total_appearances,,24
19591,total_appearances,,24
81528,total_appearances,,24
81527,total_appearances,,24
10128,total_appearances,,24
116825,total_appearances,,24
4022,total_appearances,,24
15599,total_appearances,,24
2172,total_appearances,,24
177576,total_appearances,,24
177584,total_appearances,,24
454953,total_appearances,,24
469415,total_appearances,,24
4562,total_appearances,,23
2524,total_appearances,,23
1394,total_appearances,,23
1595,total_appearances,,23
66778,total_appearances,,23
1598,total_appearances,,23
2562,total_appearances,,23
5978,total_appearances,,23
28049,total_appearances,,23
30888,total_appearances,,23
1624,total_appearances,,23
250134,total_appearances,,23
177578,total_appearances,,23
177580,total_appearances,,23
10631,total_appearances,,23
8903,total_appearances,,22
9658,total_appearances,,22
12417,total_appearances,,22
15353,total_appearances,,22
15330,total_appearances,,22
2052,total_appearances,,22
1535,total_appearances,,22
1406,total_appearances,,22
2280,total_appearances,,22
127001,total_appearances,,22
2162,total_appearances,,22
16593,total_appearances,,22
78924,total_appearances,,22
1269,total_appearances,,22
16624,total_appearances,,22
20193,total_appearances,,22
242664,total_appearances,,22
2291,total_appearances,,22
5444,total_appearances,,22
164397,total_appearances,,22
52264,total_appearances,,22
295063,total_appearances,,22
5461,total_appearances,,22
33859,total_appearances,,22
508094,total_appearances,,22
306563,total_appearances,,21
7709,total_appearances,,21
2690,total_appearances,,21
1309,total_appearances,,21
1340,total_appearances,,21
34347,total_appearances,,21
245401,total_appearances,,21
43052,total_appearances,,21
1123,total_appearances,,21
9846,total_appearances,,21
1522,total_appearances,,21
5327,total_appearances,,21
442844,total_appearances,,21
16745,total_appearances,,21
2557,total_appearances,,21
119460,total_appearances,,21
5469,total_appearances,,21
209660,total_appearances,,21
1563,total_appearances,,21
177582,total_appearances,,21
515646,total_appearances,,21
1213,total_appearances,,20
12792,total_appearances,,20
1867,total_appearances,,20
7465,total_appearances,,20
2210,total_appearances,,20
1383,total_appearances,,20
40711,total_appearances,,20
2503,total_appearances,,20
16319,total_appearances,,20
16176,total_appearances,,20
17315,total_appearances,,20
52984,total_appearances,,20
1318,total_appearances,,20
18104,total_appearances,,20
2174,total_appearances,,20
1607,total_appearances,,20
11465,total_appearances,,20
72470,total_appearances,,20
4060,total_appearances,,20
2597,total_appearances,,20
34315,total_appearances,,20
32018,total_appearances,,20
18306,total_appearances,,20
6655,total_appearances,,20
30887,total_appearances,,20
460284,total_appearances,,20
34670,total_appearances,,19
1597,total_appearances,,19
26872,total_appearances,,19
1086,total_appearances,,19
17090,total_appearances,,19
43337,total_appearances,,19
39548,total_appearances,,19
1258,total_appearances,,19
2393,total_appearances,,19
2213,total_appearances,,19
256190,total_appearances,,19
1642,total_appearances,,19
15327,total_appearances,,19
2057,total_appearances,,19
5441,total_appearances,,19
1484,total_appearances,,19
16368,total_appearances,,19
30323,total_appearances,,19
4607,total_appearances,,19
63233,total_appearances,,19
307031,total_appearances,,19
427685,total_appearances,,19
18310,total_appearances,,18
535764,total_appearances,,18
4207,total_appearances,,18
1264,total_appearances,,18
1423,total_appearances,,18
1372,total_appearances,,18
1489,total_appearances,,18
2747,total_appearances,,18
1236,total_appearances,,18
2568,total_appearances,,18
8862,total_appearances,,18
410170,total_appearances,,18
15220,total_appearances,,18
195236,total_appearances,,18
16437,total_appearances,,18
2740,total_appearances,,18
18184,total_appearances,,18
2103,total_appearances,,18
4680,total_appearances,,18
4677,total_appearances,,18
18105,total_appearances,,18
9046,total_appearances,,18
24604,total_appearances,,18
59847,total_appearances,,18
439055,total_appearances,,18
2281,total_appearances,,18
388717,total_appearances,,18
41522,total_appearances,,18
731821,total_appearances,,18
74749,total_appearances,,18
20722,total_appearances,,18
480514,total_appearances,,18
1666,total_appearances,,17
292442,total_appearances,,17
12854,total_appearances,,17
243190,total_appearances,,17
4133,total_appearances,,17
9841,total_appearances,,17
1752,total_appearances,,17
1945,total_appearances,,17
14541,total_appearances,,17
